Category,Annual Mean,5-yr smooth,CO2 Emission
1901,25.13,25.17,
1902,25.12,25.11,
1903,25.07,25.07,
1904,25.01,25.03,
1905,25.1,25.01,
1906,25.12,25.02,
1907,25.04,25.05,
1908,25.06,25.11,
1909,25.07,25.17,
1910,25.06,25.24,
1911,25.34,25.29,
1912,25.41,25.33,
1913,25.34,25.34,
1914,25.49,25.34,
1915,25.46,25.33,
1916,25.26,25.31,
1917,25.12,25.29,
1918,25.02,25.27,
1919,25.44,25.25,
1920,25.36,25.24,
1921,25.22,25.23,
1922,25.27,25.23,
1923,25.21,25.24,
1924,25.22,25.26,
1925,25.18,25.27,
1926,25.35,25.28,
1927,25.26,25.28,
1928,25.27,25.27,
1929,25.13,25.25,
1930,25.35,25.23,
1931,25.46,25.22,
1932,25.16,25.22,
1933,25.2,25.23,
1934,25.08,25.26,
1935,25.32,25.29,
1936,25.3,25.32,
1937,25.34,25.33,
1938,25.25,25.34,
1939,25.21,25.33,
1940,25.4,25.31,
1941,25.89,25.29,
1942,25.13,25.27,
1943,25.1,25.26,
1944,25.13,25.25,
1945,25.13,25.25,
1946,25.16,25.26,
1947,25.23,25.26,
1948,25.34,25.25,
1949,25.3,25.23,
1950,25.34,25.22,
1951,25.26,25.2,
1952,25.23,25.19,
1953,25.3,25.19,
1954,25.13,25.2,
1955,25.03,25.21,
1956,24.87,25.22,
1957,25.27,25.21,
1958,25.43,25.19,
1959,25.19,25.14,
1960,25.24,25.08,0.437449901
1961,24.96,25.01,0.475265155
1962,24.85,24.95,0.468692942
1963,24.91,24.91,0.553699657
1964,24.93,24.9,0.694262385
1965,24.81,24.91,0.680930405
1966,25.1,24.94,0.785832561
1967,24.84,24.97,0.843901364
1968,24.88,25,0.826482914
1969,25.12,25.02,0.903072261
1970,25.03,25.02,1.351519525
1971,24.88,25.02,1.507581062
1972,25.25,25.02,1.58184889
1973,25.33,25.02,1.51075122
1974,24.95,25.03,1.604742761
1975,24.95,25.05,1.59889811
1976,24.77,25.08,1.9163341
1977,25.03,25.1,1.767800522
1978,25.16,25.14,1.770789813
1979,25.26,25.17,2.026652457
1980,25.21,25.2,2.029087858
1981,25.35,25.23,2.180888011
1982,25.35,25.26,2.112592412
1983,25.65,25.29,2.562297268
1984,24.96,25.32,2.283864458
1985,25.17,25.35,2.323063693
1986,25.25,25.38,2.49224794
1987,25.62,25.41,2.467156648
1988,25.45,25.43,2.509871775
1989,25.24,25.45,2.845702093
1990,25.62,25.46,3.116502968
1991,25.6,25.47,3.41955733
1992,25.51,25.48,3.62422945
1993,25.42,25.5,3.65359824
1994,25.51,25.53,3.854334585
1995,25.54,25.58,4.094183
1996,25.45,25.63,4.553798411
1997,25.77,25.69,4.753559256
1998,26.16,25.74,4.659355404
1999,25.53,25.78,4.934405111
2000,25.66,25.8,5.244833936
2001,25.76,25.8,5.346888739
2002,25.94,25.78,5.631518427
2003,25.74,25.75,5.822545133
2004,25.69,25.71,6.251129636
2005,25.73,25.67,6.477462684
2006,25.64,25.63,6.590348185
2007,25.57,25.6,7.048555882
2008,25.38,25.58,7.384710598
2009,25.68,25.59,6.526762285
2010,25.8,25.62,7.058628841
2011,25.58,25.68,7.038856147
2012,25.77,25.76,6.99321172
2013,25.87,25.84,7.459383568
2014,25.78,25.92,7.757158614
2015,26.01,25.98,7.682279042
2016,26.3,26.02,7.451282159
2017,25.85,26.04,7.165808462
2018,25.89,26.05,7.600220413
2019,26.17,26.05,
2020,26.05,26.04,
