Category,Annual Mean,5-yr smooth,CO2 Emission
1901,26.54,26.38,
1902,26.45,26.42,
1903,26.14,26.46,
1904,25.99,26.48,
1905,27.05,26.5,
1906,27.11,26.5,
1907,26.18,26.48,
1908,26.24,26.45,
1909,26.27,26.41,
1910,26.09,26.35,
1911,26.61,26.3,
1912,26.4,26.25,
1913,26.16,26.21,
1914,26.33,26.18,
1915,26.16,26.16,
1916,25.92,26.14,
1917,25.89,26.15,
1918,26.24,26.16,
1919,26.51,26.18,
1920,26.3,26.2,
1921,26.06,26.22,
1922,26.26,26.22,
1923,26.07,26.22,
1924,26.23,26.21,
1925,26.03,26.21,
1926,26.51,26.22,
1927,26.2,26.25,
1928,26.34,26.3,
1929,26.34,26.37,
1930,26.32,26.43,
1931,26.64,26.48,
1932,26.43,26.51,
1933,26.49,26.5,
1934,26.25,26.46,
1935,26.74,26.42,
1936,26.37,26.36,
1937,26.47,26.32,
1938,25.95,26.29,
1939,25.92,26.29,
1940,26.35,26.3,
1941,27.17,26.32,
1942,26.39,26.36,
1943,25.96,26.4,
1944,26.35,26.45,
1945,26.37,26.48,
1946,26.52,26.49,
1947,26.7,26.48,
1948,26.29,26.42,
1949,26.31,26.32,
1950,26.12,26.21,
1951,26.2,26.1,
1952,26.19,26.02,
1953,26.18,25.98,
1954,26.14,26.01,
1955,25.63,26.07,
1956,25.65,26.15,
1957,26.34,26.22,
1958,26.37,26.26,
1959,26.48,26.26,
1960,26.51,26.23,0.13558575
1961,26.18,26.19,0.146944078
1962,26.03,26.16,0.17313024
1963,26.02,26.16,0.185877686
1964,26.09,26.2,0.242241089
1965,26.23,26.26,0.234152171
1966,26.71,26.32,0.289095663
1967,26.07,26.37,0.360199432
1968,26.37,26.39,0.491478128
1969,26.51,26.34,0.40644265
1970,26.27,26.25,0.416861299
1971,25.67,26.15,0.50701844
1972,26.41,26.07,0.559082721
1973,26.43,26.04,0.608951149
1974,25.93,26.09,0.587753707
1975,26.16,26.2,0.576652057
1976,26.07,26.35,0.663449221
1977,26.3,26.49,0.724218805
1978,26.62,26.58,0.77218985
1979,27.01,26.57,0.791694408
1980,26.7,26.48,0.847193033
1981,25.92,26.34,0.787331461
1982,26.02,26.19,0.769642915
1983,26.35,26.09,0.846114023
1984,26.07,26.07,0.89976115
1985,26.14,26.17,0.935517781
1986,26.09,26.34,0.938135513
1987,26.92,26.55,1.055592224
1988,26.69,26.74,1.220651642
1989,26.68,26.87,1.414537742
1990,26.99,26.92,1.565820805
1991,27.05,26.89,1.706548718
1992,26.67,26.83,1.858469038
1993,26.69,26.75,2.092297901
1994,26.77,26.68,2.313704692
1995,26.64,26.64,2.602439877
1996,26.26,26.63,2.886902569
1997,26.8,26.65,2.90484653
1998,27.45,26.67,2.528046434
1999,26.25,26.69,2.608406623
2000,26.47,26.7,2.591471979
2001,26.66,26.69,2.704315242
2002,26.75,26.68,2.853325862
2003,26.66,26.66,2.956628865
2004,26.59,26.63,3.212693693
2005,26.81,26.62,3.303616479
2006,26.7,26.61,3.313806153
2007,26.58,26.61,3.386869288
2008,26.24,26.62,3.431634406
2009,26.64,26.65,3.309563004
2010,27.27,26.69,3.505021026
2011,26.22,26.75,3.474905699
2012,27.11,26.81,3.715875276
2013,26.75,26.89,3.851520326
2014,26.85,26.96,3.779437929
2015,27.25,27.03,3.82859407
2016,27.37,27.09,3.780122324
2017,26.87,27.15,3.766228713
2018,26.86,27.21,3.714039204
2019,27.47,27.26,
2020,27.37,27.31,
